""      ,"ZPID"       ,"address"                                                           ,"price"    ,"bed" ,"bath" ,"Sq.Feet" ,"city"                 ,"zip-code"
"114"   ,"35863321"   ,"2597 Benjamin E Mays Dr SW, Atlanta, GA 30311"                     ,"349000"   ,"4"   ,"4"    ,"3868"    ,"Atlanta"              ,"30311"
"115"   ,"35851151"   ,"980 Saint Charles Ave NE APT 4, Atlanta, GA 30306"                 ,"379900"   ,"2"   ,"2"    ,"1128"    ,"Atlanta"              ,"30306"
"116"   ,"69343153"   ,"594 Griffin St NW, Atlanta, GA 30318"                              ,"4e+05"    ,"3"   ,"3"    ,"1600"    ,"Atlanta"              ,"30318"
"117"   ,"2146599268" ,"158 Walker St SW APT 6, Atlanta, GA 30313"                         ,"310000"   ,"2"   ,"2"    ,"1400"    ,"Atlanta"              ,"30313"
"118"   ,"35858287"   ,"2340 Highview Rd SW, Atlanta, GA 30311"                            ,"669900"   ,"6"   ,"5"    ,"4100"    ,"Atlanta"              ,"30311"
"119"   ,"35888129"   ,"752 Windsor St SW, Atlanta, GA 30315"                              ,"374900"   ,"3"   ,"2"    ,"1824"    ,"Atlanta"              ,"30315"
"120"   ,"14468263"   ,"132 Flora Ave, Atlanta, GA 30307"                                  ,"425000"   ,"4"   ,"2"    ,"2692"    ,"Atlanta"              ,"30307"
"121"   ,"2069619841" ,"498 Parker Ave SE, Decatur, GA 30032"                              ,"324900"   ,"2"   ,"1"    ,"1132"    ,"Decatur"              ,"30032"
"122"   ,"35834594"   ,"971 Washington Pl SW, Atlanta, GA 30314"                           ,"199000"   ,"2"   ,"1"    ,"1000"    ,"Atlanta"              ,"30314"
"123"   ,"14556814"   ,"3088 Boxwood Dr, Atlanta, GA 30345"                                ,"529900"   ,"4"   ,"3"    ,"2516"    ,"Atlanta"              ,"30345"
"124"   ,"82612056"   ,"3552 Oakshire Way SE, Atlanta, GA 30354"                           ,"365000"   ,"5"   ,"3"    ,"2795"    ,"Atlanta"              ,"30354"
"125"   ,"35844636"   ,"124 Scott St NW, Atlanta, GA 30314"                                ,"390000"   ,"3"   ,"3"    ,"1428"    ,"Atlanta"              ,"30314"
"126"   ,"14445853"   ,"1213 Bouldercrest Dr, Atlanta, GA 30316"                           ,"249900"   ,"2"   ,"1"    ,"1274"    ,"Atlanta"              ,"30316"
"127"   ,"65462097"   ,"800 Peachtree St NE APT 8604, Atlanta, GA 30308"                   ,"325000"   ,"2"   ,"2"    ,"1072"    ,"Atlanta"              ,"30308"
